665,Slide Trumpet
666,Reissue Consultant
667,Additional Production
668,Remastering Engineer
669,Musical Director
670,Assistant Production Coordination
671,Digital Recording Engineer
672,Digital Mixing Assistant
673,Photo Design
674,Assistant Digital Engineer
675,Compilation Mastering
676,Surround Mix
677,Harmonium
678,African Bells
679,Chinese Bells
680,Flute (Wood)
681,Indian Bells
682,Arp Echoplex
683,Ring Modulator
684,Creative Design
685,Serp
686,Nose Flute
687,Balafon
688,Reed Trumpet
689,Computers
690,Cabassa
691,String Section
692,Processing
693,Flexatones
694,Creation
695,Music Box
696,Photo Coloring
697,Type
698,Bamboo Flute
699,Package Redesign
700,Mellophonium
701,Conga Drum
702,Executive Supervision
703,Sintir
704,Music Editor
705,Assistant Music Editor
706,Nai
707,Shanai
708,Ghaita
709,Trumpet (Pocket)
710,Collator
711,Reissue Layout
712,Musette
713,Rhythm Section
714,Shells
715,Baritone Violin
716,Lead
717,Campana
718,Djembe
719,Shakere
720,Diddley Bow
721,Shell Choir
722,Tape Transfer
723,Announcer
724,Session Coordinator
725,Session Assistant
726,Post Production Engineer
727,Recording Coordinator
728,Flute (Copper)
729,Mouth Percussion
730,Cajon
731,Daf
732,Udu
733,Zarb
734,Singing Bowls
735,Bansuri
736,Ghatam
737,Technical Consultant
738,Synthesizer Percussion
739,Flamenco Guitar
740,Music Direction
741,Guitar (Nylon String)
742,Duet
743,Solo Instrumental
744,Guitar (12 String Acoustic)
745,Acoustic 6-String Guitar
746,Fuzz-wah
747,Representation
748,Booking
749,Beat Box
750,Wind Chimes
751,Drum Loop
752,Vocal Producer
753,Grooming
754,Vocal Percussion
755,Guitar Technician
756,Wurlitzer
757,Finger Snaps
758,Photo Production
759,Drum Fills
760,Fills
761,Guitar (Synthesizer)
762,Sequencers
763,Synthesizer Drums
764,Vocal Harmony
765,Keyboard Bass
766,Hair Stylist
767,Bass Sequencing
768,Rhythm Track Arrangement
769,Clothing Design
770,Guitar Engineer
771,Keyboard Engineer
772,Vocal Engineer
773,Program Assistant
774,Studio Assistant
775,Percussion Programming
776,Synthesizer Horn
777,Finger Cymbals
778,Ride Cymbal
779,Linn Drum
780,Mini Moog
781,Harmonica (Amplified)
782,Associate Project Coordinator
783,Bass Programming
784,Slide Guitar
785,Piano Preparation
786,Musical Coordinator
787,Mandolin
788,Koto
789,Bandleader
790,Bodhran
791,Kora
792,Prepared Piano
793,Pakhawaj Drum
794,Pro-Tools
795,Lyric Translation
796,Likembe
797,Tin Whistle
798,Uillean Pipes
799,Groomer
800,Mridangam
801,Jew's-Harp
802,Sampling
803,Electrician
804,Beats
805,Beat Programming
806,Principal
807,Music Assistant
808,Studio Technician
809,Rap
810,Loops
811,Djun-Djun
812,Vocoder
813,Effects
814,DX-7
815,Fairlight
816,Talk Box
817,Chatan
818,Cucia
819,Roland TR-808
820,Simmons Drums
821,Studio Coordinator
822,Emulator
823,Fairlight CMI
824,Memory Moog
825,Dmx
826,Tapes
827,Dusungoni
828,Administration
829,Prophet 5
830,Shortwave Radio
831,Rhythm Machine
832,Lyre
833,EMU
834,Mix Down
835,Bass Arrangement
836,Vocal Ad-Libs
837,Clavitar
838,Oberheim 8 Voice
839,Oberheim Synthesizer
840,Arp 2600
841,Design Engineer
842,Prophet Synthesizer
843,Arp String Ensemble
844,Remote Recording Crew
845,Micro Moog
846,Saxello
847,Voice Bag
848,Arp Odyssey
849,Arp Pro Soloist
850,Arp Strings
851,Pipe
852,Marimbula
853,Project Producer
854,Agogo
855,Bottle
856,Gankogui
857,Hinedewho
858,Surdo
859,Clapping
860,Trombone (Alto)
861,Trombone (Tenor)
862,Fuzz Bass
863,Wah Wah Bass
864,Contra-Alto
865,Readings
866,Lithography
867,Reissue Executive Producer
868,Supervising Editor
869,Mixing Consultant
870,Photo Illustration
871,Electronics
872,Librarian
873,Monitor Engineer
874,String Mixing
875,Melodica
876,Pandeiro
877,Kurzweil Synthesizer
878,Musical Supervision
879,Track Engineer
880,Illustration Concept
881,Redaction
882,Big Band
883,Mallets
884,Marimba (Electronics)
885,Guido
886,Tma
887,Art Manager
888,Clavietta
889,Personal Assistant
890,Liner Note Coordination
891,Bandoneon
892,Repertoire Selection
893,Re-Release Producer
894,Graphic Restoration
895,Processing Assistant
896,Arrangement Collaboration
897,Piccolo Bass
898,Woodwind Arrangement
899,Cover Direction
900,Electric Flute
901,Executive in Charge of Music
902,Montage
903,6-String Bass
904,Radio Consultant
905,Peck Horn
906,Flute (Soprano)
907,Assistant Artist
908,Baritone (Vocal)
909,Art Research
910,Manjeera
911,Dholak
912,Dholki
913,Post Production on Reissue
914,Bas Dessus
915,Trumbadoras
916,Multimedia Programming
917,Double Flute
918,Trumpet (Bass)
919,Baritone Clarinet
920,Choreographer
921,Costume Design
922,Scenic Design
923,Vocal Coach
924,Lighting Design
925,Audio Enhancement
926,Typesetting
927,Dancer
928,Dance (Tap)
929,Violin (Bass)
930,Composer/Lyricist
931,Associate Arranger
932,Design Assistant
933,Design Direction
934,Historical Research
935,Rhythm Bass
936,Associate Remixing Engineer
937,Balloon
938,Tape Editor
939,Reissue Compilation
940,Liner Note Compilation
941,Packaging
942,Archival Restoration
943,Orchestra Director
944,Sonic Restoration
945,Digital Imaging
946,Co-Coordinator
947,Print Production
948,Choir Contractor
949,Special Effects
950,Choir Arrangement
951,Talking
952,Program Notes
953,Series Consultant
954,Package Development
955,Post Mix Engineer
956,Paiste Cymbals
957,Electric Harpsichord
958,Sopranino
959,Contrabass Saxophone
960,Gravure
961,Sound Recording
962,Violone
963,Recorder (Tenor)
964,Recorder (Soprano)
965,Bowed Metal
966,Contra-Alto Clarinet
967,B-Flat Clarinet
968,Video
969,Hurdygurdy
970,Clarinet (Soprano)
971,Sousaphone
972,Actor
973,E Flat Cornet
974,Shenai
975,Photo Manipulation
976,Slide Saxophone
977,Dessus
978,Images
979,Graphic Consultant
980,Zither
981,Taragat
982,Kazoo
983,Graphic Layout
984,Sonic Supervisor
985,Session Supervisor
986,Sound Supervision
987,Sound Assistant
988,Concert Sound
989,Pump Organ
990,Toy Piano
991,Walkie Talkie
992,Children's Voices
993,Tape Preparation
994,Public Relations
995,Computer Editing
996,Concert Coordinator
997,Tarogato
998,Layout Direction
999,Painting Concept
1000,Reissue Concept
1001,African Balaphone
1002,Song Research
1003,Executive Manager
1004,Dobro
1005,Fretless Banjo
1006,Post Digital Production
1007,Logistics
1008,Multi-Track Mix
1009,Strings Contractor
1010,Liner Note Source
1011,Evi
1012,Mixing Producer
1013,Orchestra Contractor
1014,Quena
1015,Guitar (8 String)
1016,Composer's Assistant
1017,Cover Sculpture
1018,Technical Advisor
1019,Piano Tuner
1020,Studio Manager
1021,Drum Technician
1022,Executive Engineer
1023,Recording Manager
1024,Keyboard Technician
1025,Palmas
1026,Concert Manager
1027,Cover Graphics
1028,Sample Clearance
1029,Booklet Concept
1030,Live Sound Engineer
1031,Equipment Technician
1032,Booklet Editor
1033,Caixa
1034,Associate Executive Producer
1035,Equipment Assistant
1036,African Shakers
1037,Polymoog
1038,Personal Manager
1039,Hi Hat
1040,Oberheim OB8
1041,Equipment Manager
1042,Foot Stomping
1043,Compilation Assistant
1044,Layout Editing
1045,Choir Master
1046,Bass Baritone
1047,Vacuum Cleaner
1048,Chocola
1049,Package Direction
1050,Pre-Mixing
1051,Picture
1052,Boula
1053,Bass Viol
1054,Copy
1055,Tuning
1056,Ashiko Drum
1057,Sanza
1058,Digital Supervisor
1059,Mixing Translation
1060,Improvisation
1061,Chinese Drums
1062,Metal Objects
1063,Sho
1064,Shakuhachi
1065,Sampled Keyboards
1066,Signal Processing
1067,Sound Projector
1068,Digital Montage
1069,Instrument Design
1070,Wind Instruments
1071,Sarangui
1072,Toy Instruments
1073,Bouzouki
1074,Komungo
1075,Launeddas
1076,Didjeridu
1077,Jacket Design
1078,Liner Note Producer
1079,Conch
1080,Electronic Sounds
1081,Liner Note Adaptation
1082,Radio
1083,CD Production Supervision
1084,Noise
1085,Fortepiano
1086,Synclavier Programming
1087,Musical Producer
1088,Cover Printing
1089,Cuerda
1090,Steel Pan
1091,Bass Engineer
1092,Road Manager
1093,Tour Manager
1094,Iya
1095,Okonkolo
1096,Sarrusophone
1097,Stage Crew
1098,Stage Manager
1099,Sax (Mezzo-Soprano)
1100,Wind Machine
1101,Sleeve Art
1102,Boesendorfer Piano
1103,Camera Operator
1104,Footsteps
1105,Electronic Mandolin
1106,Indian Percussion
1107,Def
1108,Santur
1109,House Sound
1110,Editing Assistant
1111,MIDI Guitar
1112,System Engineer
1113,Monitor Technician
1114,Guitar Maker
1115,Chinese Cymbals
1116,Chitarra Battente
1117,Archlute
1118,Baroque Guitar
1119,Original Material
1120,Cover Drawing
1121,Cembalo
1122,Sound Technician
1123,Instrument Preparation
1124,Layout Assistance
1125,Pipe Organ
1126,Osidrum
1127,Recorder (Bass)
1128,Pakistani Flute
1129,Live Production
1130,Screams
1131,Editorial Assistant
1132,Vocal Ensemble
1133,Treatments
1134,Live Mixing
1135,Song Notes
1136,Model
1137,10-String Bass
1138,6-String Guitar
1139,Toy Xylophone
1140,Sheet Music
1141,Crotale
1142,Guitar (Soprano)
1143,Hammer Dulcimer
1144,Digital Assembly
1145,Orchestral Percussion
1146,Mellophone
1147,Logs
1148,Roto Toms
1149,Bowed Cymbals
1150,Autoharp
1151,Agogo Bell
1152,Synclavier Guitar
1153,Harp Guitar
1154,Tape
1155,Post Processing
1156,Digital Processing
1157,Electric Keyboard
1158,Cymbalom
1159,Live Recording Mixer
1160,Re-Recording Mixer
1161,Re-Recording
1162,Egyptian Drum
1163,Clavioline
1164,Repique
1165,Repenique
1166,Notes Adaption
1167,Standup Electric Bass
1168,Electric Valve Instrument
1169,Nay
1170,Pianicca
1171,Rocksichord
1172,Discographical Information
1173,Clavoline
1174,Antique Cymbal
1175,Bass Marimba
1176,Electronic Celeste
1177,Reverb
1178,Blocks
1179,Piano (Upright)
1180,Lighting
